,average,CREGION,AGE,SEX,EDUCATION,CITIZEN,MARITAL,RELIG,RELIGATTEND,POLPARTY,INCOME,POLIDEOLOGY,RACE
INFOCREATEa_W45,0.019728173258398166,0.0019411375286389476,0.005561272398650828,0.003939875262108356,0.01790806659570798,0.001347741737535058,0.005262967981959373,0.02493670897737589,0.008705491206820437,0.0747474367947682,0.007007949463933425,0.08077295095018971,0.004606480203089757
MADEUPSHAREWHY_W45,0.0166851878191779,0.012845420838315325,0.03917606590432363,0.005059656365996145,0.013389952889065769,0.008792765658785376,0.021380667557404854,0.032164419891240296,0.015786353135043455,0.018924539899404243,0.008147219398833193,0.011044049628978887,0.013511142662743586
NEWSPREFV2_W45,0.01627841246143739,0.0042653294866687565,0.07056898997072689,0.00917247647952594,0.021810386853561042,0.00475301367120684,0.017969608314200136,0.01855357441849444,0.006498961750738764,0.006672068572950157,0.011380386659503548,0.011590593352083064,0.012105560007589099
NEWSPROBe_W45,0.015585692778799327,0.0023184581446284943,0.006949240341066566,0.006409126909080258,0.00734259401104078,0.002773759509981079,0.0057740703745585336,0.010899583544881068,0.004936616872442987,0.06648198519910122,0.0034539004912784205,0.0635281846817645,0.006160793265768053
INFOCREATEe_W45,0.013683853476611262,0.0011085163499356659,0.019200307436445154,0.01076612377587248,0.0024865822146997096,0.005125827941717793,0.011410603777431506,0.008049068564157299,0.0017463834918700681,0.04586490562552726,0.005184375096001958,0.034261298970621946,0.019002248475054308
FCFAIR_W45,0.013190755149109027,0.0013750457664068482,0.00038756239450532016,0.003306349294787928,0.006356145975537792,0.0004324069706711572,0.0021662791569608797,0.010758699234518169,0.0036674736811174533,0.06369852504282035,0.0017209336783291665,0.061209851250987254,0.0032097893426660104
WATCHDOG_1_W45,0.012881261362079384,0.00057978981561012,0.004176118698645912,3.1525380448050885e-05,0.006914487168432924,0.0002193491293770979,0.003497231889335219,0.014972621817713729,0.0055269433970920575,0.0632768278305125,0.00041174197891487665,0.05093889827917148,0.004029600959698633
INFORESTRICTb_W45,0.011193885819079942,0.00248596892552971,0.0013879153387455232,0.0136728379922002,0.03045416841448942,0.0008233774821641512,0.0019530582203516591,0.02122614771085991,0.0056472345498567314,0.01090814984267911,0.01573296617663412,0.02266973978061307,0.007365065394835699
INFOWHYb_W45,0.010541596810333486,0.0018881167390057763,0.011073078819191479,0.009622105312406787,0.023757175765743058,0.00828233819371249,0.006260607101410555,0.006488981923558658,0.0028337972033242644,0.006217708295330784,0.017596307291005264,0.006974747998728221,0.02550419708058449
WATCHDOG_3_W45,0.01022853166443659,0.00010974957551530415,0.002127291454272015,0.0030162120237742867,0.0010020109873908908,0.002652700036843567,0.0032964240568072443,0.003865511922566739,0.0018012970491899484,0.05332409354705303,0.0019053391948816232,0.03560342580541695,0.01403832431952749
SEEK_W45,0.010003730783315295,0.0007231008138895715,0.04661361349969169,0.012528977361229172,0.008076884314638476,0.0011323364742199036,0.009928925213535712,0.007211798645671456,0.0008054458700957989,0.00667943165400567,0.00855322941091075,0.006844118091343497,0.010946908050551846
RESTRICTWHO_W45,0.009868327605496514,0.002272922263714996,0.005334250338965854,0.00376958716729465,0.007390087863778562,0.004430900729823601,0.004815540608641059,0.013988114281013668,0.006806307453510403,0.031605093552282026,0.006245279325074623,0.026416497456993884,0.005345350224864837
SOURCESKEPa_W45,0.009396655402426315,0.00119113841313849,0.00375980633713607,0.0018540838089224332,0.01076397971150747,0.0014426047311769863,0.0015634429328367726,0.007668287890744314,0.003045765627197516,0.04199128701513764,0.006420517587220175,0.030218759214327942,0.0028401915597699684
INFOCONFUSEb_W45,0.008677833153887428,0.001293436558460287,0.0028476310704608782,0.00624809033379294,0.011140770573620307,0.00034602661064920604,0.003448630881645519,0.01917749910492102,0.007462957705709876,0.020635654361730083,0.0046218103271618675,0.02494042488347594,0.0019710654350212084
NEWS_PLATFORMg_W45,0.0086439653054538,0.0009401474936656753,0.04366797710869853,0.01711719840715738,0.0029813565945059368,0.004671879825319815,0.009075291948371903,0.0025467883225466104,0.0037625872062770154,0.0024792288049593748,0.005422349329953951,0.0035910376178309293,0.007471741006158484
SOURCESKEPe_W45,0.007879857850277533,0.001251168300923738,0.02575526785667063,0.0167111274061304,0.0045256800747771305,0.004236968084242833,0.007439264431073971,0.0038315170882896278,0.0020306286642664635,0.004462688517631603,0.008156675646232226,0.004409363032438172,0.011747945100653601
SMLIKESd_W45,0.007437095964738411,0.001785998488097729,0.012398268550636882,0.0036900882559780623,0.007201012717945468,0.008359839145037656,0.006534963797726686,0.007873868301047051,0.008355150091833612,0.001619338131431478,0.005361187214435072,0.004371164487297739,0.0216942723953935
INFOOWNb_W45,0.007436575942247444,0.0008201940041817972,0.0005094310894532717,0.010548045744475966,0.0226238203173464,0.002738380820473605,0.00305978938422886,0.012996608828778221,0.0035793035149094383,0.0015061149248026557,0.015588351296073588,0.008659489424181026,0.006609381958064518
SMLIKESe_W45,0.007131039115333082,0.0027526416663841706,0.002883331572634719,0.00035795963237755715,0.01857561931398791,0.004105713370107198,0.00404784021836609,0.011000986094762744,0.004466174797800885,0.0031395364999293575,0.011619924796653478,0.006108443045908378,0.016514298375084488
ACCCHECK_W45,0.006613602221691074,0.0012524485529377663,0.009035977524580602,0.005080186984027078,0.011983584478508768,0.0009990053564329314,0.00634920087106949,0.009708107122631062,0.004563139300943063,0.0055985570698581216,0.008656381875362804,0.013031359695792168,0.0031052778281490385
SMLIKESa_W45,0.006509066321388529,0.0013679841042539343,0.003867949190219669,0.002009567486105574,0.014183759933115265,0.0015106829629285528,0.0033543931935734518,0.011227053299698022,0.004341649350375907,0.004035359816197364,0.013414791655515342,0.010222523145415018,0.008573081719264254
NEWSPROBb_W45,0.00650693226189732,0.0020483246007263122,0.0019591468738890767,0.003958429361706644,0.014555013594959192,0.0026129003977208216,0.002990360395834069,0.007039081151410918,0.005377823576863458,0.004121530126530697,0.012022872312204074,0.010141088911806515,0.011256615839116066
MADEUPOFT_W45,0.006330041720696791,0.0012373509481542976,0.008129838998658115,0.0030154274089929213,0.006991399457323932,0.0007163135973640291,0.004494108991540772,0.003864970593145405,0.0017357190148177399,0.017880179070385003,0.0028915343693173023,0.01761333019469916,0.007390328003962819
ONLINESOURCE_W45,0.006251021411477505,0.0008595546614502764,0.004644114512964485,0.0028772705160840673,0.019038417257394857,0.001750168369591493,0.003936592996302398,0.005987939614511592,0.0015945614557266825,0.003954330346870205,0.013944763779572497,0.007527751592629387,0.008896791834632121
MADEUPTOPICa_W45,0.006146969274899233,0.0010575938508219267,0.008469372559555223,0.0038322334885538293,0.006231664208204482,0.0034327838947516382,0.005277283001467128,0.004465074792230684,0.001493926555679254,0.007772254227126993,0.007567628226103248,0.006377423968194686,0.017786392526101705
NEWS_PLATFORMh_W45,0.006117743898621846,0.0009061802680038973,0.006971659003837167,0.003997934897106877,0.014850334655739563,0.0004192307624476666,0.00451531724190309,0.008265910418480177,0.004273385719098995,0.003378023725794615,0.013015489975745224,0.009010473372373602,0.0038089867429312928
SNSUSE_W45,0.006087697254197136,0.00012034070486396916,0.038113205057421586,0.014826898459975505,0.0005147664115895508,0.004300355684354175,0.0047994232704243744,0.0013135149816060666,0.0012242057487892425,0.0008064564496610933,0.001181287851534135,0.0024603265065473437,0.003391585923598586
INFOCONFUSEc_W45,0.0058798909100008625,0.0014005869547397012,0.0030983660415918384,0.0005752773595352357,0.005204285794230276,0.003782476354420232,0.0030674023916234714,0.005722495068109662,0.0030446067774891794,0.01825640015173704,0.003289138328323197,0.019105780659146056,0.004011875039064451
